# ID	TEXT	MARKER	TARGET	RELATION
1	Mahaj Brown , 6 , &quot; von Kugeln durchlöchert &quot; , überlebt Schießerei in Philadelphia	(zusammengefasst)	2	broad
2	Die Polizei teilt mit , dass der 6 jährige Junge in Philadelphia angeschossen wurde , diese Woche bereits das zweite Mal , dass ein 6 jähriges Kind angeschossen wird .	(konkret)	1	specific
3	Die Großeltern des Jungen identifizierten ihn für CBS Philadelphia als Mahaj Brown .	(später)	2	after
4	Die Großeltern gaben an , dass Brown mehrere Schussverletzungen erlitt , einschließlich in der Lende , Bein , Arm und Bauch , aber dass er bei seinem Transport ins in das Krankenhaus bei Bewusstsein war .	(und)	3	conjunction
5	&quot; Er hat viel durchgemacht , sein kleiner Körper war von Kugeln durchlöchert , &quot; teilte seine Großmutter Delores Melendez dem Sender mit .	_	4	restatement
6	Ich kann das einfach nicht glauben .	(und)	5	conjunction
7	Der Zustand des Jungen wurde in einem Krankenhaus als kritisch eingestuft und er musste sich mehreren Operationen unterziehen .	(später)	4	after
8	Die Familie des Jungen teilte dem Sender mit , dass er voraussichtlich wieder genesen wird .	(dennoch)	7	contra-expectation
9	Er hätte die erste Klasse in einer örtlichen Grundschule beginnen sollen .	hätte beginnen sollen	7	hypophora
10	Brown war einer von vier Personen die in Germantown angeschossen wurden .	(konkret)	2	specific
11	Ebenfalls angeschossen wurden drei Männer : zwei im in dem Alter von 29 Jahren und ein 32 Jähriger .	ebenfalls	10	conjunction
12	Einer der 29- jährigen Männer ist im in dem kritischen Zustand ;	(konkret)	11	specific
13	die anderen zwei Opfer sind laut CBS Philadelphia im in dem stabilen Zustand .	(und)	12	conjunction
14	Der Junge wurde auf dem Vordersitz eines Autos zusammen mit dem 29 Jährigen , der sich in einem kritischen Zustand befindet , angeschossen aufgefunden , berichtet der Sender .	(konkret)	10	specific
15	Die anderen zwei Opfer befanden sich nicht im in dem Auto und die Polizei ermittelt gerade , ob sich unter einem der verletzten Männer der Täter befinden könnte .	(jedoch)	14	contra-expectation
16	Ermittler teilten CBS Philadelphia mit , dass es anscheinend zu einem Kreuzfeuer zwischen mehreren Schützen gekommen sei .	(der Grund dafür)	10	reason
17	Patronenhülsen für Sturmgewehre , die zu verschiedenen Sturmgewehren zurückverfolgt wurden , übersähten den Tatort .	(denn)	16	cause
18	Es scheint , dass es sich hierbei eindeutig um einen andauernden Kampf gehandelt habe .	(daher)	17	result
19	Auf der Straße , auf beiden Seiten des Gehwegs , befanden sich Hülsen .	(genauer gesagt)	17	specific
20	So scheint es hier mehrere bewaffnete Kämpfer gegeben zu haben , die sehr aktiv beteiligt waren , &quot; teilte Polizeihautpmann Anthony Ginaldi der Polizei in Philadelphia dem Sender mit .	(daher)	19	result
21	Es wurden auch mehrere Häuser und Fahrzeuge in dem Gebiet getroffen .	auch	20	conjunction
22	Es kam zu keinen Festnahmen und die Polizei überprüft derzeit Berichten zufolge das Überwachungsvideo .	(aber)	20	contrast
24	Sie erholt sich und die Polizei sucht noch nach einem Verdächtigen .	(zusammenfassend)	22	broad
